Date,Open,High,Low,Close,Adj Close,Volume
1984-05-23,10.000000,10.000000,10.000000,10.000000,2.091913,0
1984-05-24,9.670000,9.670000,9.670000,9.670000,2.022881,0
1984-05-25,9.690000,9.690000,9.690000,9.690000,2.027064,0
1984-05-29,9.670000,9.670000,9.670000,9.670000,2.022881,0
1984-05-30,9.600000,9.600000,9.600000,9.600000,2.008236,0
1984-05-31,9.570000,9.570000,9.570000,9.570000,2.001961,0
1984-06-01,9.710000,9.710000,9.710000,9.710000,2.031248,0
1984-06-04,9.740000,9.740000,9.740000,9.740000,2.037524,0
1984-06-05,9.650000,9.650000,9.650000,9.650000,2.018696,0
1984-06-06,9.840000,9.840000,9.840000,9.840000,2.058443,0
1984-06-07,9.790000,9.790000,9.790000,9.790000,2.047984,0
1984-06-08,9.780000,9.780000,9.780000,9.780000,2.045891,0
1984-06-11,9.670000,9.670000,9.670000,9.670000,2.022881,0
1984-06-12,9.520000,9.520000,9.520000,9.520000,1.991502,0
1984-06-13,9.470000,9.470000,9.470000,9.470000,1.981042,0
1984-06-14,9.310000,9.310000,9.310000,9.310000,1.947572,0
1984-06-15,9.110000,9.110000,9.110000,9.110000,1.905733,0
1984-06-18,9.150000,9.150000,9.150000,9.150000,1.914101,0
1984-06-19,9.170000,9.170000,9.170000,9.170000,1.918284,0
1984-06-20,9.170000,9.170000,9.170000,9.170000,1.918284,0
1984-06-21,9.120000,9.120000,9.120000,9.120000,1.907824,0
1984-06-22,9.090000,9.090000,9.090000,9.090000,1.901549,0
1984-06-25,9.010000,9.010000,9.010000,9.010000,1.884814,0
1984-06-26,8.920000,8.920000,8.920000,8.920000,1.865987,0
1984-06-27,8.890000,8.890000,8.890000,8.890000,1.859711,0
1984-06-28,8.920000,8.920000,8.920000,8.920000,1.865987,0
1984-06-29,8.920000,8.920000,8.920000,8.920000,1.865987,0
1984-07-02,8.890000,8.890000,8.890000,8.890000,1.859711,0
1984-07-03,8.900000,8.900000,8.900000,8.900000,1.861803,0
1984-07-05,8.890000,8.890000,8.890000,8.890000,1.859711,0
1984-07-06,8.840000,8.840000,8.840000,8.840000,1.849252,0
1984-07-09,8.840000,8.840000,8.840000,8.840000,1.849252,0
1984-07-10,8.760000,8.760000,8.760000,8.760000,1.832516,0
1984-07-11,8.650000,8.650000,8.650000,8.650000,1.809505,0
1984-07-12,8.550000,8.550000,8.550000,8.550000,1.788586,0
1984-07-13,8.690000,8.690000,8.690000,8.690000,1.817872,0
1984-07-16,8.690000,8.690000,8.690000,8.690000,1.817872,0
1984-07-17,8.730000,8.730000,8.730000,8.730000,1.826240,0
1984-07-18,8.670000,8.670000,8.670000,8.670000,1.813689,0
