Date,Open,High,Low,Close,Adj Close,Volume
1976-08-18,2.562200,2.562200,2.562200,2.562200,1.510903,19500
1976-08-19,2.549578,2.549578,2.549578,2.549578,1.503460,500
1976-08-20,2.536956,2.536956,2.536956,2.536956,1.496017,8000
1976-08-23,2.461226,2.461226,2.461226,2.461226,1.451360,1000
1976-08-24,2.435982,2.435982,2.435982,2.435982,1.436473,7500
1976-08-25,2.410740,2.410740,2.410740,2.410740,1.421588,8000
1976-08-26,2.410740,2.410740,2.410740,2.410740,1.421588,500
1976-08-27,2.499092,2.499092,2.499092,2.499092,1.473689,2500
1976-08-30,2.448604,2.448604,2.448604,2.448604,1.443916,40000
1976-08-31,2.448604,2.448604,2.448604,2.448604,1.443916,500
1976-09-01,2.461226,2.461226,2.461226,2.461226,1.451360,500
1976-09-02,2.423362,2.423362,2.423362,2.423362,1.429032,65000
1976-09-03,2.385496,2.385496,2.385496,2.385496,1.406702,500
1976-09-07,2.322388,2.322388,2.322388,2.322388,1.369488,33500
1976-09-08,2.335010,2.335010,2.335010,2.335010,1.376931,32000
1976-09-09,2.322388,2.322388,2.322388,2.322388,1.369488,1000
1976-09-10,2.360252,2.360252,2.360252,2.360252,1.391816,500
1976-09-13,2.309766,2.309766,2.309766,2.309766,1.362045,114500
1976-09-14,2.297144,2.297144,2.297144,2.297144,1.354602,22500
1976-09-15,2.297144,2.297144,2.297144,2.297144,1.354602,32000
1976-09-16,2.259280,2.259280,2.259280,2.259280,1.332274,67000
1976-09-17,2.259280,2.259280,2.259280,2.259280,1.332274,500
1976-09-20,2.259280,2.259280,2.259280,2.259280,1.332274,500
1976-09-21,2.259280,2.259280,2.259280,2.259280,1.332274,80500
1976-09-22,2.259280,2.259280,2.259280,2.259280,1.332274,1000
1976-09-23,2.259280,2.259280,2.259280,2.259280,1.332274,500
1976-09-24,2.259280,2.259280,2.259280,2.259280,1.332274,2500
1976-09-27,2.246658,2.246658,2.246658,2.246658,1.324831,500
1976-09-28,2.246658,2.246658,2.246658,2.246658,1.324831,44000
1976-09-29,2.271902,2.271902,2.271902,2.271902,1.339718,22500
1976-09-30,2.259280,2.259280,2.259280,2.259280,1.332274,500
1976-10-01,2.246658,2.246658,2.246658,2.246658,1.324831,26000
1976-10-04,2.246658,2.246658,2.246658,2.246658,1.324831,500
1976-10-05,2.259280,2.259280,2.259280,2.259280,1.332274,8000
1976-10-06,2.271902,2.271902,2.271902,2.271902,1.339718,10000
